timestamp,accuracy,f1_score,recall,precision,kappa,confusion_matrix,threshold_used
2025-08-01 22:01:54,"(0.8333333333333334, 0.8666666666666667)","(0.8275862068965517, 0.8571428571428571)","(0.8, 0.8)","(0.8571428571428571, 0.9230769230769231)","(0.6666666666666667, 0.7333333333333334)","('[[13  2]\n [ 3 12]]', '[[14  1]\n [ 3 12]]')",0.5
2025-08-01 22:14:30,"(0.6666666666666666, 0.6666666666666666)","(0.6774193548387096, 0.6666666666666666)","(0.7241379310344828, 0.6896551724137931)","(0.6363636363636364, 0.6451612903225806)","(0.33554817275747506, 0.3340732519422863)","('[[19 12]\n [ 8 21]]', '[[20 11]\n [ 9 20]]')",0.4833333333333333
2025-08-01 22:27:09,"(0.67, 0.68)","(0.6857142857142857, 0.673469387755102)","(0.7346938775510204, 0.673469387755102)","(0.6428571428571429, 0.673469387755102)","(0.34158020750199514, 0.3597438975590236)","('[[31 20]\n [13 36]]', '[[35 16]\n [16 33]]')",0.49
2025-08-01 22:41:16,"(0.735, 0.71)","(0.7623318385650224, 0.6979166666666666)","(0.85, 0.67)","(0.6910569105691057, 0.7282608695652174)","(0.47, 0.42000000000000004)","('[[62 38]\n [15 85]]', '[[75 25]\n [33 67]]')",0.5
