timestamp,accuracy,f1_score,recall,precision,kappa,confusion_matrix,threshold_used,native_language,education_level,age_group,english_level,job_category,reading_domain
2025-08-05 01:21:08,"(0.73, 0.73)","(0.7326732673267327, 0.7326732673267327)","(0.7115384615384616, 0.7115384615384616)","(0.7551020408163265, 0.7551020408163265)","(0.460431654676259, 0.460431654676259)","('[[36 12]\n [15 37]]', '[[36 12]\n [15 37]]')",0.52,Arabic,High School,"(25, 30)",Beginner,Service & Hospitality,Social Media
2025-08-05 01:29:29,"(0.69, 0.79)","(0.6265060240963856, 0.7835051546391752)","(0.52, 0.76)","(0.7878787878787878, 0.8085106382978723)","(0.38, 0.5800000000000001)","('[[43  7]\n [24 26]]', '[[41  9]\n [12 38]]')",0.5,French,High School,"(18, 25)",Intermediate,Healthcare,Non Fiction
2025-08-05 01:37:39,"(0.76, 0.76)","(0.7391304347826086, 0.7551020408163265)","(0.68, 0.74)","(0.8095238095238095, 0.7708333333333334)","(0.52, 0.52)","('[[42  8]\n [16 34]]', '[[39 11]\n [13 37]]')",0.5,Arabic,Ph.D.,"(18, 25)",Intermediate,Creative & Communication,Businness News
2025-08-05 01:45:46,"(0.69, 0.83)","(0.6075949367088608, 0.8316831683168316)","(0.48, 0.84)","(0.8275862068965517, 0.8235294117647058)","(0.38, 0.6599999999999999)","('[[45  5]\n [26 24]]', '[[41  9]\n [ 8 42]]')",0.5,Mandarin,Masters,"(25, 30)",Intermediate,Creative & Communication,Non Fiction
2025-08-05 01:53:52,"(0.76, 0.78)","(0.7073170731707317, 0.78)","(0.5918367346938775, 0.7959183673469388)","(0.8787878787878788, 0.7647058823529411)","(0.5167136528393073, 0.5601759296281488)","('[[47  4]\n [20 29]]', '[[39 12]\n [10 39]]')",0.49,Turkish,Ph.D.,"(25, 30)",Intermediate,Business & Office Work,Academic papers
2025-08-05 02:01:56,"(0.71, 0.73)","(0.5915492957746479, 0.6666666666666666)","(0.44680851063829785, 0.574468085106383)","(0.875, 0.7941176470588235)","(0.4013212221304706, 0.44942903752039154)","('[[50  3]\n [26 21]]', '[[46  7]\n [20 27]]')",0.47,Mandarin,Ph.D.,"(30, 40)",Advanced,Creative & Communication,Businness News
2025-08-05 02:10:10,"(0.75, 0.77)","(0.7368421052631579, 0.735632183908046)","(0.6862745098039216, 0.6274509803921569)","(0.7954545454545454, 0.8888888888888888)","(0.5011971268954509, 0.5425616547334924)","('[[40  9]\n [16 35]]', '[[45  4]\n [19 32]]')",0.51,Arabic,Masters,"(30, 40)",Beginner,Healthcare,Academic papers
2025-08-05 02:18:27,"(0.79, 0.78)","(0.7789473684210526, 0.7608695652173914)","(0.7115384615384616, 0.6730769230769231)","(0.8604651162790697, 0.875)","(0.5823389021479713, 0.5634920634920635)","('[[42  6]\n [15 37]]', '[[43  5]\n [17 35]]')",0.52,Mandarin,High School,"(18, 25)",Beginner,Service & Hospitality,Fiction
2025-08-05 02:27:03,"(0.69, 0.73)","(0.5866666666666667, 0.7378640776699029)","(0.4888888888888889, 0.8444444444444444)","(0.7333333333333333, 0.6551724137931034)","(0.35416666666666663, 0.46850393700787396)","('[[47  8]\n [23 22]]', '[[35 20]\n [ 7 38]]')",0.45,Mandarin,Ph.D.,"(18, 25)",Advanced,Creative & Communication,Academic papers
2025-08-05 02:35:34,"(0.55, 0.77)","(0.21052631578947367, 0.7964601769911505)","(0.12, 0.9)","(0.8571428571428571, 0.7142857142857143)","(0.09999999999999998, 0.54)","('[[49  1]\n [44  6]]', '[[32 18]\n [ 5 45]]')",0.5,Italian,Bachelors,"(18, 25)",Advanced,Creative & Communication,Businness News
